1003,2/21/2008,Where is the PCI Security Standards Council Located,https://pcissc.secure.force.com/faq/articles/Frequently_Asked_Question/Where-is-the-PCI-Security-Standards-Council-Located
1004,2/21/2008,Does the PCI Security Standards Council enforce compliance?,https://pcissc.secure.force.com/faq/articles/Frequently_Asked_Question/Does-the-PCI-Security-Standards-Council-enforce-compliance
1009,2/21/2008,"In case of a suspected breach, should the PCI Security Standards Council be contacted directly?",https://pcissc.secure.force.com/faq/articles/Frequently_Asked_Question/should-I-notify-the-council-directly-of-a-breach
1014,2/21/2008,Do QSAs and ASVs need to send reports of compliance (ROCs) or scanning results to the PCI Security Standards Council directly?,https://pcissc.secure.force.com/faq/articles/Frequently_Asked_Question/Do-QSAs-and-ASVs-need-to-send-reports-of-compliance-ROCs-or-scanning-results-to-the-PCI-Security-Standards-Council-directly
1015,2/21/2008,What are the consequences to my business if I do not comply with the PCI DSS?,https://pcissc.secure.force.com/faq/articles/Frequently_Asked_Question/What-are-the-consequences-to-my-business-if-I-do-not-comply-with-the-PCI-DSS
1017,2/24/2008,How can my organization find assistance in completing the Self-Assessment Questionnaire?,https://pcissc.secure.force.com/faq/articles/Frequently_Asked_Question/How-can-my-organization-find-assistance-in-completing-the-Self-Assessment-Questionnaire
1018,2/21/2008,Will the PCI Security Standards Council list compliant service providers and/or merchants on its Web site?,https://pcissc.secure.force.com/faq/articles/Frequently_Asked_Question/Will-the-PCI-Security-Standards-Council-list-compliant-service-providers-and-or-merchants-on-its-Web-site
1019,2/21/2008,"If my business was deemed compliant but my system was still breached and payment account data compromised after the fact, what liability would my business incur?",https://pcissc.secure.force.com/faq/articles/Frequently_Asked_Question/If-my-business-was-deemed-compliant-but-my-system-was-still-breached-and-payment-account-data-compromised-after-the-fact-what-liability-would-my-business-incur
1021,2/24/2008,How much will it cost for a vendor to have their products validated to PA-DSS by a PA-QSA?,https://pcissc.secure.force.com/faq/articles/Frequently_Asked_Question/How-much-will-it-cost-for-a-vendor-to-have-their-products-validated-to-PA-DSS-by-a-PA-QSA
1022,7/29/2015,Do small merchants with limited transaction volumes need comply with PCI DSS?,https://pcissc.secure.force.com/faq/articles/Frequently_Asked_Question/Do-small-merchants-with-limited-transaction-volumes-need-comply-with-PCI-DSS
1023,2/21/2008,What are the requirements that have to be satisfied to be in compliance with the PCI Data Security Standard?,https://pcissc.secure.force.com/faq/articles/Frequently_Asked_Question/What-are-the-requirements-that-have-to-be-satisfied-to-be-in-compliance-with-the-PCI-Data-Security-Standard
1024,2/24/2008,Is PCI DSS a global standard?,https://pcissc.secure.force.com/faq/articles/Frequently_Asked_Question/Is-PCI-DSS-a-global-standard
